Index,Sentence,Caring,Boredom,Disappointment,Nervousness,Annoyance,Contempt,Sarcasm,Fear,Approval,Desire,Curiosity,Disgust,Pride,Confusion,Gratitude,Love,Amusement,Grief,Joy,Admiration,Embarrassment,Neutral,Anger,Disapproval,Relief,Surprise,Remorse,Realization,Excitement,Envy,Optimism,Sadness
1,"The grandfather clock blared across the hall. Bertha turned to the other side of the plush bed. It had been days since she bought the house, though it wasn't from her money. They had a deal, a deal she could not resist. Shifting the blankets over her head, she sighed—another mistake. A few months ago...",0.00000000000000000000,0.02079999999999999905,0.12500000000000000000,0.08329999999999999905,0.10420000000000000095,0.00000000000000000000,0.00000000000000000000,0.06250000000000000000,0.00000000000000000000,0.06250000000000000000,0.04170000000000000095,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.04170000000000000095,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.08329999999999999905,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.04170000000000000095,0.14580000000000001292,0.00000000000000000000,0.02079999999999999905,0.00000000000000000000,0.00000000000000000000,0.16669999999999998708
2,"She was face to face with the Bargainer. Still in the black mourning clothes she used to mourn her dead husband, still wearing the single tear that graced her cheek, so singular, so perfect like a drop of blood. They were seated in their mansion—her mansion now. Minimalistic, very unlike her. It was her late husband who preferred it.",0.00000000000000000000,0.00000000000000000000,0.09760000000000000620,0.02440000000000000155,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.02440000000000000155,0.04880000000000000310,0.04880000000000000310,0.04880000000000000310,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.12199999999999999734,0.00000000000000000000,0.19500000000000000666,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.14630000000000001337,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.07320000000000000118,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.17069999999999999063
3,"""Bertha..."" He called her so sweetly, even on his deathbed. There she was, making a deal with the Bargainer. It was all worth it. She thought, the castle is in the memory of her husband.",0.03919999999999999873,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.09800000000000000377,0.11759999999999999620,0.00000000000000000000,0.00000000000000000000,0.01959999999999999937,0.00000000000000000000,0.07839999999999999747,0.17649999999999999023,0.00000000000000000000,0.15690000000000001168,0.00000000000000000000,0.01959999999999999937,0.00000000000000000000,0.05879999999999999810,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.01959999999999999937,0.00000000000000000000,0.01959999999999999937,0.00010000000000000000,0.05879999999999999810,0.13730000000000000537
4,"Tick. Tick. Tick. Getting up from the bed, her black eyes drifted over to the grand window. The sky was still dark; it was still midnight.",0.00000000000000000000,0.03230000000000000232,0.00000000000000000000,0.25809999999999999609,0.12900000000000000355,0.00000000000000000000,0.00000000000000000000,0.22580000000000000071,0.00000000000000000000,0.00000000000000000000,0.06450000000000000178,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.19350000000000000533,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.03230000000000000232,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.06450000000000000178
5,"Slipping on her slippers, she strolled to the balcony, opening the doors, letting the cool breeze grace her skin. 'The moon seems lovely tonight,' she thought. There were still some lights on in the castle. Of course there was—there were maintainers and workers who worked to keep the castle clean.",0.06250000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.18750000000000000000,0.03130000000000000143,0.03130000000000000143,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.12500000000000000000,0.15629999999999999449,0.00000000000000000000,0.24979999999999999427,0.00000000000000000000,0.00000000000000000000,0.09379999999999999449,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.06250000000000000000,0.00000000000000000000
6,"The rose garden was well manicured, looking exceptionally beautiful under the moonlight. Oh how she wished to visit them at this hour. Not because she was restricted—for this was already her property—but because she was too lazy to take the stairs, those things were torture. She sighed and went inside. On one of the many luxurious drawers in the chiffonier, she drew one out and picked a cigar, lighting it.",0.00000000000000000000,0.04880000000000000310,0.00000000000000000000,0.00000000000000000000,0.19500000000000000666,0.00000000000000000000,0.04880000000000000310,0.00000000000000000000,0.07320000000000000118,0.14630000000000001337,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.07320000000000000118,0.17069999999999999063,0.00000000000000000000,0.12199999999999999734,0.00000000000000000000,0.00000000000000000000,0.02440000000000000155,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.09760000000000000620
7,"It was nice being alone, but not too nice. She still missed her husband, though he was now six feet under the soil. He was the only one who saw her, but even at that he still struggled to find the depths under those dark eyes. She wasn't pretty; she wasn't docile and loving like her name. She was like a rose, with only thorns and sharp leaves for petals.",0.02170000000000000054,0.00000000000000000000,0.13039999999999998814,0.00000000000000000000,0.04349999999999999700,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.04349999999999999700,0.00000000000000000000,0.00000000000000000000,0.15220000000000000195,0.00000000000000000000,0.19570000000000001283,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.10870000000000000495,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.08699999999999999400,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.21729999999999999316
8,"This was going to be a long night… The Montante castle stood in the midst of dense foliage. It was an old and little-known castle, built by a nobleman hundreds of years ago.",0.00000000000000000000,0.18179999999999998939,0.00000000000000000000,0.09089999999999999469,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.04549999999999999878,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.54539999999999999591,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.13639999999999999347
9,"Who knew it? She had no interest in knowing—all she knew was that it was hers. The papers and everything were signed under her name, with her own signature. But she didn't plan on staying there forever, no, it was too much of a hassle to get from the stairs. She just wanted to stay low for the time being.",0.00000000000000000000,0.05260000000000000092,0.00000000000000000000,0.00000000000000000000,0.18420000000000000262,0.07889999999999999791,0.00000000000000000000,0.00000000000000000000,0.13159999999999999476,0.10530000000000000471,0.02630000000000000046,0.00000000000000000000,0.21049999999999999267,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.15790000000000001257,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00010000000000000000,0.00000000000000000000,0.05260000000000000092
10,"The bathroom was very modest, almost too modest considering the grandness of the Master's Bedroom. The tub was made of porcelain, smooth, fair, devoid of any extra designs—much to her displeasure. After taking her bath, she put on her clothes and walked downstairs to the dining hall. The clinking of tableware increased her hunger. She then sat at the head of the long table. Breakfast was served at the table just for her... Only her.",0.00000000000000000000,0.06450000000000000178,0.00000000000000000000,0.00000000000000000000,0.19350000000000000533,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.09679999999999999716,0.03230000000000000232,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.25809999999999999609,0.00000000000000000000,0.22580000000000000071,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.12900000000000000355
